Rússia, 77, 81, 85, 81
Arábia Saudita, 73, 74, 78, 76
Egito, 83, 81, 79, 82
Uruguai, 95, 92, 88, 82
Portugal, 94, 87, 86, 87
Espanha, 90, 94, 88, 88
Marrocos, 74, 80, 79, 79
Irã, 75, 70, 77, 75
França, 95, 91, 87, 95
Austrália, 76, 72, 80, 80
Peru, 77, 73, 80, 82
Dinamarca, 80, 83, 77, 83
Argentina, 98, 86, 90, 89
Islândia, 80, 80, 84, 77
Croácia, 85, 82, 81, 82
Nigéria, 80, 76, 80, 84
Brasil, 96, 92, 88, 92
Suíça, 81, 84, 82, 82
Costa Rica, 75, 76, 83, 77
Sérvia, 78, 83, 79, 81
Alemanha, 92, 95, 85, 91
México, 83, 83, 85, 82
Suécia, 79, 83, 83, 78
Coreia do Sul, 80, 75, 75, 81
Bélgica, 90, 93, 85, 94
Panamá, 72, 74, 78, 75
Tunísia, 75, 75, 78, 78
Inglaterra, 88, 88, 80, 88
Polônia, 85, 83, 84, 83
Senegal, 84, 78, 81, 85
Colômbia, 81, 81, 85, 81
Japão, 78, 79, 76, 86
